諧聲序,形序,聲-明細,聲形-聲,聲形-形,字類,聲-明細',聲序,聲旁,反切-小韻首字,反切-原貌,反切-周祖謨校,反切-余迺永校,反切-覈校說明,字頭-原貌,字頭-周祖謨校,字頭-余迺永校,字頭-覈校說明,字頭-補,廣韻反切原貌(覈校前),廣韻反切(覈校後),上字,下字,廣韻字頭原貌(覈校前),廣韻字頭(覈校後),廣韻釋義,釋義補充,廣韻字序,切韻擬音(poem版),切韻拼音(poem版),聲紐,呼,等,韻部(調整後),聲調,組,攝,韻部調整說明,廣韻韻部順序,廣韻韻部原貌(調整前),韻部原貌-平上去入相配爲平(調整前),韻部原貌-相配爲平並標A/B類(調整前),小韻-擬音相同(poem版擬音),開合分析(果攝/寒桓/嚴凡/咍灰/遇攝/通攝/臻攝),開合分析(幫組-歌戈/寒桓/唐/泰/咍灰/魂/模/冬/東一),開合分析(幫組-陽/嚴凡/元/廢/鍾/東三/尤/虞/文/微）,A/B類分析(與各組聲紐撘配),中古拼音(polyhedron 版),現代廣州音理論音,粵聲,粵韻,粵調,現代北京音理論音,京聲,京韻,京調,廣韻頁序,頁內字序,小韻序,小韻內字序,全王本切韻-補字,全王本切韻-字數,全王本切韻-反切,裴本切韻-反切,裴本切韻-字序,裴本切韻-字數,裴本切韻-補字,玉篇-原本玉篇殘卷/篆隸萬象名義,玉篇-是否見於原本玉篇殘卷,玉篇-宋本玉篇,經典釋文-拼音(poem版),經典釋文-反切,合併-廣韻,合併-廣韻反切,合併-切韻擬音(poem版),合併-切韻拼音(poem版),合併-中古拼音(polyhedron 版),上字',上字-切韻拼音(poem版),上字-聲紐,上字-呼,上字-等,上字-韻部,上字-聲調,上字-組,上字-攝,下字',下字-切韻拼音(poem版),下字-聲紐,下字-呼,下字-等,下字-韻部,下字-聲調,下字-組,下字-攝,對比-聲紐(上字/被切字),對比-呼(下字/被切字)(不涉及幫組),對比-呼(幫組下字/其他組被切字),對比-等(下字/被切字),對比-韻部(下字/被切字),對比-韻部A/B類(來紐下字/幫見影三組被切字),對比-韻部A/B類(知組下字/幫見影三組被切字),對比韻部A/B類(其他組下字/幫見影三組被切字),上字-切韻擬音(poem版),上字-中古拼音(polyhedron 版),下字-切韻擬音(poem版),下字-中古拼音(polyhedron 版),建議替換爲,是否聲旁,是否次級聲旁,聲形析微,先秦韻部（引自余迺永的《上古音系研究》）,資料引用-其他版本的字頭
15024,297,唐,唐,山,,唐,761,唐,,,,,,,,,,,徒朗,徒朗,徒,朗,嵣,嵣,嵣㟐山皃,,13362,dɒŋʔ,doangq,定,開,一,唐,上,端,宕,,上37,蕩,唐,唐,,,,,,dangx,,,,,,,,,上41右,38,1832,12,,,,,,,,,,徒郎,,,徒朗：嵣㟐山皃/徒浪：嵣㟐山皃,徒朗/徒浪,dɒŋʔ/dɒŋh,doangq/doangh,dangx/dangh,徒,do,定,開,一,模,平,端,遇,朗,loangq,來,開,一,唐,上,來,宕,,,,,,,,,do,do,lɒŋʔ,langx,,,,,,嵣
14494,98,桑,桑,頁,,桑,724,桑,蘇朗,,,,,,,,,,蘇朗,蘇朗,蘇,朗,顙,顙,頟也蘇朗切四,,13363,sɒŋʔ,soangq,心,開,一,唐,上,精,宕,,上37,蕩,唐,唐,,,,,,sangx,,,,,,,,,上41右,39,1833,1,,,蘇朗,顙,1,3,,息朗,,蘇朗,soangq,息蕩1/息黨7/桑朗1/桑蕩1/桑黨4/素黨4/蘇黨1,蘇朗：頟也蘇朗切四,蘇朗,sɒŋʔ,soangq,sangx,蘇,so,心,開,一,模,平,精,遇,朗,loangq,來,開,一,唐,上,來,宕,,,,,,,,,so,so,lɒŋʔ,langx,,,,,,顙
14496,455,桑,桑,壴,,桑,724,桑,,,,,,,,,,,蘇朗,蘇朗,蘇,朗,𣞙,𣞙,鼓匡木也,,13364,sɒŋʔ,soangq,心,開,一,唐,上,精,宕,,上37,蕩,唐,唐,,,,,,sangx,,,,,,,,,上41右,40,1833,2,,3,蘇朗,顙,2,,,先郎,,先朗,,,蘇朗：鼓匡木也,蘇朗,sɒŋʔ,soangq,sangx,蘇,so,心,開,一,模,平,精,遇,朗,loangq,來,開,一,唐,上,來,宕,,,,,,,,,so,so,lɒŋʔ,langx,,,,,,𣞙
14497,455,桑,桑,壴,,桑,724,桑,,,,,,,,,,,蘇朗,蘇朗,蘇,朗,𣡆,𣡆,上同,鼓匡木也,13365,sɒŋʔ,soangq,心,開,一,唐,上,精,宕,,上37,蕩,唐,唐,,,,,,sangx,,,,,,,,,上41右,41,1833,3,,,,,,,,,,,,,蘇朗：上同,蘇朗,sɒŋʔ,soangq,sangx,蘇,so,心,開,一,模,平,精,遇,朗,loangq,來,開,一,唐,上,來,宕,,,,,,,,,so,so,lɒŋʔ,langx,𣞙,,,似爲𣞙之訛,,𣡆
14495,298,桑,桑,石,,桑,724,桑,,,,,,,,,,,蘇朗,蘇朗,蘇,朗,磉,磉,柱下石也,,13366,sɒŋʔ,soangq,心,開,一,唐,上,精,宕,,上37,蕩,唐,唐,,,,,,sangx,,,,,,,,,上41右,42,1833,4,,,蘇朗,顙,3,,,,,先囊,,,蘇朗：柱下石也,蘇朗,sɒŋʔ,soangq,sangx,蘇,so,心,開,一,模,平,精,遇,朗,loangq,來,開,一,唐,上,來,宕,,,,,,,,,so,so,lɒŋʔ,langx,,,,,,磉
13966,304,黃,黃,广,,廣,710,黃,古晃,,,,,,,,,,古晃,古晃,古,晃,廣,廣,大也闊也古晃切二,,13367,kwɒŋʔ,kwoangq,見,合,一,唐,上,見,宕,,上37,蕩,唐,唐,,,,,,kuangx,guong2,gu,ong,2,guang3,g,uang,3,上41右,43,1834,1,,1,古晃,古晃,1,1,,古晃/古曠,是,古晃/古曠,keng/kwoang/kwoangh/kwoangq,經1/光1/公曠1/古壙1/古曠43/光浪5/光曠4/如字3/依字1,古晃：大也闊也古晃切二,古晃,kwɒŋʔ,kwoangq,kuangx,古,koq,見,開,一,模,上,見,遇,晃,ghwoangq,匣,合,一,唐,上,影,宕,,,,,,,,,koʔ,kox,ɦwɒŋʔ,ghuangx,,,次級聲旁,,陽,廣
13987,320,廣,廣,邑,,廣,710,黃,,,,,,,,,,,古晃,古晃,古,晃,鄺,鄺,姓出廬江,,13368,kwɒŋʔ,kwoangq,見,合,一,唐,上,見,宕,,上37,蕩,唐,唐,,,,,,kuangx,,,,,,,,,上41右,44,1834,2,,,,,,,,,,荒,,,呼光：人姓何氏姓苑云今廬江人/古晃：姓出廬江,呼光/古晃,hwɒŋ/kwɒŋʔ,hwoang/kwoangq,huang/kuangx,古,koq,見,開,一,模,上,見,遇,晃,ghwoangq,匣,合,一,唐,上,影,宕,,,,,,,,,koʔ,kox,ɦwɒŋʔ,ghuangx,,,,,,鄺
14140,216,旁,旁,木,,旁,715,方,北朗,,,,,,,,,,北朗,北朗,北,朗,榜,榜,木片北朗切六,,13369,pɒŋʔ,poangq,幫,開,一,唐,上,幫,宕,,上37,蕩,唐,唐,,,幫組唐>開,,,pangx,bong2,b,ong,2,bang3,b,ang,3,上41右,45,1835,1,,5,博朗,博朗,1,5,,補衡,,蒲萌/北孟,paingh,必孟1,薄庚：說文曰所以輔弓弩也又甫孟切/北朗：木片北朗切六/北孟：榜人船人也北孟切三,薄庚/北朗/北孟,bajŋ/pɒŋʔ/pajŋh,baing/poangq/paingh,brang/pangx/prangh,北,peok,幫,開,一,登,入,幫,曾,朗,loangq,來,開,一,唐,上,來,宕,,,,,,,,,pɤk,pok,lɒŋʔ,langx,,,,,,榜
14156,399,旁,旁,片,,旁,715,方,,,,,,,,,,,北朗,北朗,北,朗,牓,牓,題牓,,13370,pɒŋʔ,poangq,幫,開,一,唐,上,幫,宕,,上37,蕩,唐,唐,,,幫組唐>開,,,pangx,,,,,,,,,上41右,46,1835,2,,,博朗,博朗,2,,,普唐,,譜朗,,,北朗：題牓,北朗,pɒŋʔ,poangq,pangx,北,peok,幫,開,一,登,入,幫,曾,朗,loangq,來,開,一,唐,上,來,宕,,,,,,,,,pɤk,pok,lɒŋʔ,langx,,,,,,牓
19824,332,並,並,毛,,並,1024,並,,,,,,,,,,,北朗,北朗,北,朗,𣮧,𣮧,毛𣮧罽文,,13371,pɒŋʔ,poangq,幫,開,一,唐,上,幫,宕,,上37,蕩,唐,唐,,,幫組唐>開,,,pangx,,,,,,,,,上41右,47,1835,3,,,博朗,博朗,3,,,補莽,,布莽,,,北朗：毛𣮧罽文,北朗,pɒŋʔ,poangq,pangx,北,peok,幫,開,一,登,入,幫,曾,朗,loangq,來,開,一,唐,上,來,宕,,,,,,,,,pɤk,pok,lɒŋʔ,langx,,,,,,𣮧
