ID,两天,白驹过隙,百年,百日,半辈子,半年,半生,半世,半天,半载,辈子,不久,沧海桑田,刹那,成年累月,待会,当即,等一会,等一下,地久天长,地老天荒,短期,多会儿,多年,多日,海枯石烂,好半天,好一会儿,好一阵,很多年,很快,恒久,即将,即刻,几十年,经年累月,老半天,立即,立刻,马上,七日,千年,千秋万代,顷刻,霎时,瞬间,天长日久,万代,万年,为期不远,迅即,迅雷不及掩耳,迅速,遥遥无期,一半天,一辈子,一刹那,一晃,一会,一刻,一溜烟,一年半载,一日,一霎,一生,一时半会儿,一时半刻,一世,一瞬,一下子,一宿,一眨眼,一阵,一阵子,一整天,亿万斯年,永久,永生永世,永远,眨眼间,长年,长期,终身,终生,转眼间
English translation,Two days (comprehension check),A white steed flashing past a crack (time flies),A hundred years,A hundred days,Half a lifetime,Half a year,Half a life,Half a lifetime,Half a day,Half a year,A lifetime,Not long,Seas change into mulberry fields (time brings great changes),Kshana (a Buddhist term for an instant) / an instant,"Year in, year out",Wait a bit,Right then,Wait a little while,Wait a bit,As long as heaven and earth endure (eternal),Until earth grows old and heaven decays (forever),Short-term,For a short time,Many years,Many days,Until the seas dry up and rocks crumble (forever),Quite a long while,Quite a while,Quite a spell,Very many years,Very soon,Eternal,About to happen,This very moment,Decades,"Year after year, month after month",A very long while,Immediately,At once,Right away,Seven days,A thousand years,"Thousands of autumns, ten thousand generations (for all time)",In an instant,In a flash,A blink of time,As long as heaven and earth last (very long time),Ten thousand generations,Ten thousand years,Not far off (in time),Promptly and swiftly,Swift thunder leaves no time for covering ears (extremely fast),Swiftly,"Not within foreseeable time (literally, “far away with no deadline”)",Half a day or so,A lifetime,A single kshana / a split second,In a flash (time passing quickly),A short while,A quarter (of an hour) / a short while,Like a puff of smoke (very quickly),"A year or so (literally, “a year and half a year”)",One day,A flash,A whole life,"A short while (literally, “half a moment”)","A short while (literally, “half a moment”)",A generation / a lifetime,A fleeting moment,All at once,One night,A blink (of an eye),A spell (of time),A period of time,A whole day,Hundreds of millions of years,Permanent,For all eternity,Forever,In the blink of an eye,Year after year,Long-term,For life,All one’s life,In the blink of an eye
20,2,1825,36500,100,18250,180,18250,18250,0.5,180,29200,0.020833333,3649635,2.31E-05,7300,0.010416667,1.16E-05,0.006944444,0.002083333,21900,3649635,10,0.010416667,1825,1,3649635,0.125,0.020833333,0.020833333,3650,0.006944444,3649635,3,0.000115741,10950,3650,0.5,1.16E-05,0.001388889,0.002083333,7,365000,36499635,0.000173611,2.31E-05,5.79E-05,3649635,36499635,3650000,10,0,3.47E-05,0.000173611,29200,0.5,29200,1.16E-05,2.31E-05,0.003472222,0.010416667,0.000173611,365,1,5.79E-05,29200,0.010416667,0.010416667,29200,2.31E-05,0.003472222,0.333333333,1.16E-05,0.020833333,10,1,364635,3649635,3649635,3649635,1.16E-05,10950,,29200,29200,0.000173611
21,2,,36500,100,18250,,18250,18250,,182.5,36500,,3650000,,3650,,,,,36500,3650000,,,2555,100,,,,,7300,,36500,,,18250,3650,0.125,,,,,365000,,,,,36500,365000,3650000,,,,,,,,,3650,,,,365,,,,,,36500,,,,,,,,,3650000,36500,36500,,7300,600,36500,36500,
22,2,2.31E-05,36500,100,14600,180,14600,14600,0.25,180,29200,14,,1.16E-05,7300,0.013888889,0.083333333,0.020833333,0.006944444,365000,365000,7,0.013888889,3650,10,,0.020833333,0.020833333,0.020833333,3650,7,36500,7,0.020833333,10950,18250,0.083333333,0.001388889,0.006944444,0.006944444,7,365000,365000,0.000115741,1.16E-05,2.31E-05,7300,73000000,3650000,90,0.010416667,1.16E-05,0.006944444,36500,0.25,29200,1.16E-05,5.79E-05,0.041666667,0.010416667,0.000231481,365,1,1.16E-05,29200,0.041666667,0.083333333,29200,1.16E-05,0.000231481,0.416666667,1.16E-05,5,7,1,3650000,36500,,3650000,2.31E-05,3650,1095,29200,29200,0.000115741
23,2,,36500,100,18250,182.5,18250,18250,0.5,182.5,36500,,3.65E+15,1.16E-05,,,1.16E-05,0.001388889,0.001388889,3.65E+13,3650000000,,,,,3.65E+13,0.166666667,,,,,,1,1.16E-05,,,0.75,1.16E-05,1.16E-05,1.16E-05,7,365000,3.65E+13,1.16E-05,1.16E-05,1.16E-05,3.65E+12,365000000,3650000,,1.16E-05,1.16E-05,,,0.5,36500,1.16E-05,,,0.010416667,,,1,1.16E-05,36500,0.083333333,,36500,1.16E-05,1.16E-05,0.5,1.16E-05,,,1,3.65E+15,3.65E+14,3.65E+11,3.65E+15,1.16E-05,,,36500,36500,1.16E-05
24,2,3650,,100,10950,,10950,10950,,180,25550,3,3650000,1.16E-05,3650,0.083333333,0.003472222,0.010416667,0.006944444,3650000,7300000,10,0.125,3650,20,36500000,0.5,0.208333333,0.416666667,1825,0.003472222,365000,0.013888889,0.000694444,18250,1095,0.5,0.003472222,0.003472222,0.003472222,7,365000,36500000,1.16E-05,5.79E-05,1.16E-05,3650000,36500000,3650000,10,0.041666667,1.16E-05,0.020833333,7300,0.5,25550,1.16E-05,30,0.041666667,1.16E-05,0.000115741,365,,1.16E-05,25550,0.083333333,0.083333333,25550,1.16E-05,0.000694444,0.5,3.47E-05,0.208333333,0.208333333,,3.65E+14,36500000000,25550,36500000000,2.31E-05,3650,90,25550,25550,5
25,2,7300,36500,100,7300,180,5475,7300,0.333333333,180,10950,7,14600,1.16E-05,3650,0.003472222,0.000694444,0.003472222,0.003472222,10950,10950,30,0.013888889,1825,5,14600,0.25,0.001388889,0.041666667,3650,0.000694444,1825,7,,7300,3650,0.166666667,5.79E-05,0.003472222,0.003472222,,365000,36500,0.000694444,1.16E-05,1.16E-05,10950,36500,3650000,90,3.47E-05,1.16E-05,0.003472222,1095,0.166666667,10950,1.16E-05,0.041666667,0.006944444,0.010416667,0.002083333,300,1,1.16E-05,10950,0.083333333,0.083333333,7300,1.16E-05,5.79E-05,0.333333333,1.16E-05,0.041666667,7,1,14600,36500,14600,36500,1.16E-05,3650,1825,14600,14600,5.79E-05
26,2,1095,36500,100,18250,182.5,18250,18250,0.5,182.5,36500,60,3.65E+28,1.16E-05,3650,0.020833333,1.16E-05,0.006944444,0.006944444,365000,3.65E+29,90,0.125,7300,7,3.65E+22,0.5,0.125,0.5,7300,0.041666667,3.65E+20,0.000694444,1.16E-05,10950,7300,0.5,,1.16E-05,0.006944444,7,365000,3650000,1.16E-05,1.16E-05,0,365000,,3650000,30,0,1.16E-05,3.47E-05,3650000,0.5,36500,1.16E-05,0.000694444,0.083333333,0.010416667,0.000115741,547.5,1,1.16E-05,36500,0.208333333,0.0625,36500,0,0,0.5,1.16E-05,0.5,0.5,12,3650000,3.65E+18,3.65E+26,3.65E+30,1.16E-05,3650,1095,36500,36500,5.79E-05
27,2,0.020833333,36500,100,14600,180,14600,14600,0.5,180,29200,7,,5.79E-05,18250,0.083333333,0.020833333,0.010416667,0.020833333,36500,,60,0.208333333,10950,5,36500,0.5,0.083333333,0.083333333,10950,0.041666667,365000,0.020833333,0.006944444,18250,3650,0.5,2.31E-05,0.006944444,0.041666667,7,365000,365000,0.000115741,2.31E-05,5.79E-05,21900,365000000,3650000,7,0.041666667,0.000694444,0.000694444,10950,1.5,29200,0.000115741,0.000115741,0.041666667,0.010416667,0.003472222,540,1,5.79E-05,29200,0.083333333,0.052083333,29200,5.79E-05,0.006944444,0.416666667,2.31E-05,0.083333333,15,1,3.65E+12,365000,3650000000,36500,2.31E-05,36500,7300,18250,18250,0.020833333
28,2,6570,36500,100,14600,182.5,14600,18250,0.5,180,29200,0.003472222,365000,0,18250,0.020833333,0,0.003472222,0.000694444,36500,3650000,30,0.020833333,7300,10,365000,0.020833333,0.020833333,0.013888889,10950,0.002083333,36500,,,10950,18250,0.125,0,0,5.79E-05,7,365000,4380000,0.000694444,0,0,36500,109500000,3650000,30,0,,0,36500,0.5,29200,0,1095,0.006944444,0.010416667,,365,1,0,29200,0.000694444,0.000694444,36500,0,0.000694444,0.416666667,1.16E-05,0.083333333,0.083333333,1,3.65E+14,365000,365000,365000,1.16E-05,10950,365,29200,29200,1.16E-05
29,2,30,36500,90,10950,180,10950,10950,0.5,180,10950,7,36500,0.000694444,3650,0.083333333,0.000173611,0.003472222,0.003472222,73000,73000,15,0.020833333,3650,7,365000,1,0.083333333,0.020833333,5475,0.000347222,36500,7,1.16E-05,21900,7300,0.25,1.16E-05,0.003472222,5.79E-05,7,365000,365000,5.79E-05,0.000173611,0.000694444,18250,73000,3650000,30,0.000231481,1.16E-05,0.000231481,3650,2,29200,0.000694444,1,0.041666667,0.000173611,5.79E-05,730,1,0.000694444,29200,1,0.25,29200,0.000694444,36500,1,1.16E-05,7,0.020833333,1,36500,365000,365000,365000,1.16E-05,7300,1825,29200,29200,1.16E-05
