word,visual_mean,visual_sd,visual_n,auditory_mean,auditory_sd,auditory_n,scale
if,10.231,16.219,25,6.962,12.682,26,0-100_VAS
igloo,85.786,14.678,25,25.296,29.71,27,0-100_VAS
ignominie,24.48,32.549,23,21,31.798,23,0-100_VAS
ignorance,27.6,31.222,24,28.04,31.993,25,0-100_VAS
iguane,81.4,28.668,25,11.538,23.364,26,0-100_VAS
illustration,78.391,23.887,23,16.417,27.986,23,0-100_VAS
image,82.731,23.17,25,18.593,26.305,27,0-100_VAS
imagerie,64.821,34.609,25,17.889,28.447,27,0-100_VAS
imitation,59.65,34.338,20,50.85,37.583,20,0-100_VAS
immensité,69,29.47,25,21.222,29.531,27,0-100_VAS
immeuble,87.75,13.421,25,26.926,32.001,27,0-100_VAS
immobilité,66.448,27.621,28,12.25,22.046,28,0-100_VAS
immuabilité,21.148,29.754,25,18.556,29.147,26,0-100_VAS
impact,56.739,33.982,23,43.083,36.827,23,0-100_VAS
impatience,51.826,34.766,24,43.652,36.642,24,0-100_VAS
implantation,48.417,31.374,23,18.136,25.406,23,0-100_VAS
impossibilité,28.417,28.942,24,21,32.957,24,0-100_VAS
impossible,33.296,30.443,28,31.296,33.97,28,0-100_VAS
imposteur,39.792,33.542,25,24.296,36.168,27,0-100_VAS
imposture,29.56,33.494,25,18.519,25.805,26,0-100_VAS
impression,59.96,31.026,24,40,33.425,24,0-100_VAS
imprimante,79.609,22.234,23,53.833,33.47,23,0-100_VAS
imprimerie,74.64,22.511,24,52.8,37.298,25,0-100_VAS
impuissance,41.75,33.969,20,30.263,33.65,20,0-100_VAS
impulsion,51.071,37.218,25,41.037,38.419,27,0-100_VAS
impôt,51.818,37.884,24,19.857,28.253,24,0-100_VAS
incendie,90.607,11.186,25,63,31.608,27,0-100_VAS
incertitude,29.75,34.236,28,23.25,31.111,28,0-100_VAS
inceste,44.583,37.922,24,18.75,28.083,24,0-100_VAS
incident,60.852,33.149,28,43.345,36.205,28,0-100_VAS
incision,68.379,27.77,28,26.964,32.29,28,0-100_VAS
inclination,55.5,32.624,25,28.958,33.025,26,0-100_VAS
inconnu,55.5,31.2,25,27.192,30.615,26,0-100_VAS
inconvénient,28.727,33.691,23,34.348,38.519,23,0-100_VAS
incorporation,42.053,30.55,20,17.55,27.196,20,0-100_VAS
incrustation,51.125,23.819,24,22.87,31.769,24,0-100_VAS
inculpé,50.5,36.713,24,29.818,34.661,24,0-100_VAS
incursion,34.44,35.927,26,17.08,28.507,26,0-100_VAS
index,72.174,28.309,23,14.174,27.458,23,0-100_VAS
indication,60.125,31.911,24,29.24,31.714,25,0-100_VAS
indice,44.542,36.871,27,42.222,35.984,27,0-100_VAS
indien,70.52,35.727,27,40.462,39.103,26,0-100_VAS
indifférence,44.208,36.806,24,27.583,33.392,24,0-100_VAS
indignation,34.625,28.035,24,38.25,36.245,24,0-100_VAS
individu,63.684,31.31,20,25.85,31.079,20,0-100_VAS
indulgence,30.481,34.457,25,21.5,34.763,26,0-100_VAS
industrie,71.276,30.308,28,38,35.314,28,0-100_VAS
inertie,26.96,32.25,25,7.654,17.844,26,0-100_VAS
infarctus,46.107,37.072,28,25.179,30.517,28,0-100_VAS
infection,65.875,34.301,23,22,33.058,23,0-100_VAS
infertilité,35.043,33.859,24,17.217,28.342,24,0-100_VAS
infidélité,61.292,38.798,24,40.75,39.938,24,0-100_VAS
infinité,40.72,34.733,24,14.92,18.396,25,0-100_VAS
infirmier,75.667,35.196,24,19.75,27.908,24,0-100_VAS
infirmité,58.241,35.174,25,21,26.056,27,0-100_VAS
influence,41.32,36.012,25,29.444,33.578,27,0-100_VAS
influx,40.2,31.542,25,19.808,28.024,27,0-100_VAS
ingrédient,80.769,25.273,25,29.115,33.917,26,0-100_VAS
ingénieur,53,32.08,28,33.138,33.946,28,0-100_VAS
initiation,56.696,36.529,23,44.261,37.313,23,0-100_VAS
initiative,32.364,37.656,23,33.957,36.729,23,0-100_VAS
injection,66.625,30.902,24,23.25,26.071,24,0-100_VAS
injure,43.464,33.807,25,65.074,37.729,27,0-100_VAS
innocence,43.13,32.826,24,25.5,34.078,24,0-100_VAS
innovation,52.222,36.725,25,38.778,38.091,27,0-100_VAS
inoccupé,47.042,40.678,24,14.917,28.296,24,0-100_VAS
inquiétude,45.292,35.939,24,34.318,38.616,24,0-100_VAS
inscription,67.385,29.746,25,37.731,38.723,26,0-100_VAS
insecte,74.04,29.104,24,44.6,35.214,25,0-100_VAS
insecticide,65.346,25.704,26,35.154,34.354,26,0-100_VAS
insertion,47.667,40.332,24,9.5,16.401,24,0-100_VAS
insistance,35.909,31.429,24,41.857,38.609,24,0-100_VAS
inspecteur,63.115,24.517,28,34.241,29.206,28,0-100_VAS
inspection,63.448,31.893,25,30.519,28.187,27,0-100_VAS
inspiration,62.24,26.477,25,51.038,35.764,26,0-100_VAS
installation,57.923,32.979,25,30.481,33.855,27,0-100_VAS
instant,35.714,36.899,28,28.897,32.139,28,0-100_VAS
instinct,43.714,40.602,25,33.148,34.644,27,0-100_VAS
institut,38.25,35.615,24,17.75,26.636,24,0-100_VAS
instituteur,57.04,32.256,25,37,35.05,27,0-100_VAS
instruction,40.615,37.021,25,30.778,34.531,26,0-100_VAS
instrument,78.292,19.674,23,70.87,25.682,23,0-100_VAS
